holder_id,check,detail,severity
H0001633,nino_missing,NINO absent,blocking
H0001640,nino_missing,NINO absent,blocking
H0001643,address_incomplete,missing postcode,advisory
H0001644,nino_missing,NINO absent,blocking
H0001648,address_incomplete,missing postcode,advisory
H0001723,dob_missing,date_of_birth='',advisory
H0001724,address_incomplete,missing address_line_1,advisory
H0001727,address_incomplete,missing postcode,advisory
H0001742,nino_missing,NINO absent,blocking
H0001744,address_incomplete,missing address_line_1,advisory
H0001770,nino_missing,NINO absent,blocking
H0001781,nino_missing,NINO absent,blocking
H0001783,nino_missing,NINO absent,blocking
H0001787,nino_malformed,NINO fails structure: suffix_blank,blocking
H0001799,nino_malformed,NINO fails structure: bad_format,blocking
H0001829,dob_missing,date_of_birth='',advisory
H0001836,dob_missing,date_of_birth='',advisory
H0001843,nino_missing,NINO absent,blocking
H0001849,nino_missing,NINO absent,blocking
H0001857,address_incomplete,missing address_line_1,advisory
H0001863,nino_missing,NINO absent,blocking
H0001866,nino_missing,NINO absent,blocking
H0001871,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0001872,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0001902,address_incomplete,missing postcode,advisory
H0001908,address_incomplete,missing address_line_1,advisory
H0001918,address_incomplete,missing address_line_1,advisory
H0001922,address_incomplete,missing address_line_1,advisory
H0001925,nino_malformed,NINO fails structure: bad_format,blocking
H0001930,nino_missing,NINO absent,blocking
H0001962,dob_missing,date_of_birth='',advisory
H0002014,nino_malformed,NINO fails structure: bad_format,blocking
H0002020,address_incomplete,missing address_line_1,advisory
H0002070,address_incomplete,missing address_line_1,advisory
H0002071,nino_malformed,NINO fails structure: bad_format,blocking
H0002101,nino_missing,NINO absent,blocking
H0002110,address_incomplete,missing address_line_1,advisory
H0002112,dob_missing,date_of_birth='',advisory
H0002114,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0002126,address_incomplete,missing postcode,advisory
H0002137,nino_missing,NINO absent,blocking
H0002137,dob_missing,date_of_birth='',advisory
H0002161,nino_malformed,NINO fails structure: suffix_blank,blocking
H0002163,address_incomplete,missing postcode,advisory
H0002170,address_incomplete,missing address_line_1,advisory
H0002187,address_incomplete,missing postcode,advisory
H0002195,nino_missing,NINO absent,blocking
H0002202,dob_missing,date_of_birth='',advisory
H0002208,address_incomplete,missing address_line_1,advisory
H0002209,nino_missing,NINO absent,blocking
H0002222,nino_missing,NINO absent,blocking
H0002244,dob_missing,date_of_birth='',advisory
H0002244,address_incomplete,missing address_line_1,advisory
H0002258,address_incomplete,missing address_line_1,advisory
H0002270,nino_missing,NINO absent,blocking
H0002303,nino_malformed,NINO fails structure: bad_format,blocking
H0002306,nino_missing,NINO absent,blocking
H0002322,nino_missing,NINO absent,blocking
H0002346,address_incomplete,missing address_line_1,advisory
H0002351,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0002360,nino_missing,NINO absent,blocking
H0002376,nino_malformed,NINO fails structure: bad_format,blocking
H0002377,nino_missing,NINO absent,blocking
H0002400,address_incomplete,missing postcode,advisory
H0002412,nino_missing,NINO absent,blocking
H0002418,address_incomplete,missing address_line_1,advisory
H0002426,address_incomplete,missing address_line_1,advisory
H0002429,address_incomplete,missing postcode,advisory
H0002432,address_incomplete,missing address_line_1,advisory
H0002445,nino_malformed,NINO fails structure: bad_suffix,blocking
H0002450,address_incomplete,missing address_line_1,advisory
H0002451,address_incomplete,missing postcode,advisory
H0002456,nino_missing,NINO absent,blocking
H0002475,nino_malformed,NINO fails structure: bad_format,blocking
H0002484,nino_missing,NINO absent,blocking
H0002517,nino_missing,NINO absent,blocking
H0002555,nino_missing,NINO absent,blocking
H0002558,nino_missing,NINO absent,blocking
H0002566,nino_missing,NINO absent,blocking
H0002584,address_incomplete,missing postcode,advisory
H0002589,nino_malformed,NINO fails structure: suffix_blank,blocking
H0002603,address_incomplete,missing address_line_1,advisory
H0002606,nino_missing,NINO absent,blocking
H0002606,address_incomplete,missing postcode,advisory
H0002624,dob_missing,date_of_birth='',advisory
H0002627,address_incomplete,missing address_line_1,advisory
H0002640,nino_missing,NINO absent,blocking
H0002673,nino_missing,NINO absent,blocking
H0002713,nino_missing,NINO absent,blocking
H0002714,nino_missing,NINO absent,blocking
H0002731,nino_missing,NINO absent,blocking
H0002731,dob_missing,date_of_birth='',advisory
H0002733,nino_missing,NINO absent,blocking
H0002750,nino_missing,NINO absent,blocking
H0002770,nino_missing,NINO absent,blocking
H0002778,nino_missing,NINO absent,blocking
H0002799,dob_missing,date_of_birth='',advisory
H0002800,nino_malformed,NINO fails structure: suffix_blank,blocking
H0002821,nino_missing,NINO absent,blocking
H0002839,nino_malformed,NINO fails structure: bad_format,blocking
H0002844,nino_malformed,NINO fails structure: suffix_blank,blocking
H0002850,nino_missing,NINO absent,blocking
H0002866,address_incomplete,missing address_line_1,advisory
H0002880,nino_missing,NINO absent,blocking
H0002897,nino_missing,NINO absent,blocking
H0002905,nino_missing,NINO absent,blocking
H0002908,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0002908,dob_missing,date_of_birth='',advisory
H0002912,nino_malformed,NINO fails structure: bad_format,blocking
H0002921,nino_missing,NINO absent,blocking
H0002948,address_incomplete,missing address_line_1,advisory
H0002957,address_incomplete,missing postcode,advisory
H0002991,nino_missing,NINO absent,blocking
H0002995,address_incomplete,missing address_line_1,advisory
H0003036,address_incomplete,missing postcode,advisory
H0003046,nino_missing,NINO absent,blocking
H0003047,address_incomplete,missing postcode,advisory
H0003056,address_incomplete,missing address_line_1,advisory
H0003059,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0003063,nino_missing,NINO absent,blocking
H0003064,address_incomplete,missing postcode,advisory
H0003066,nino_missing,NINO absent,blocking
H0003077,nino_missing,NINO absent,blocking
H0003104,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0003122,nino_missing,NINO absent,blocking
H0003130,nino_malformed,NINO fails structure: bad_format,blocking
H0003132,nino_malformed,NINO fails structure: bad_format,blocking
H0003134,dob_missing,date_of_birth='',advisory
H0003146,dob_missing,date_of_birth='',advisory
H0003173,address_incomplete,missing address_line_1,advisory
H0003183,nino_missing,NINO absent,blocking
H0003187,address_incomplete,missing address_line_1,advisory
H0003188,nino_missing,NINO absent,blocking
H0003198,nino_missing,NINO absent,blocking
H0003208,address_incomplete,missing address_line_1,advisory
H0003209,nino_missing,NINO absent,blocking
H0003227,dob_missing,date_of_birth='',advisory
H0003230,address_incomplete,missing address_line_1,advisory
H0003234,nino_malformed,NINO fails structure: bad_suffix,blocking
H0003235,dob_missing,date_of_birth='',advisory
H0003237,nino_malformed,NINO fails structure: bad_suffix,blocking
H0003245,address_incomplete,missing postcode,advisory
H0003248,address_incomplete,missing postcode,advisory
H0003253,dob_missing,date_of_birth='',advisory
H0003256,nino_malformed,NINO fails structure: bad_suffix,blocking
H0003258,address_incomplete,missing postcode,advisory
H0003261,address_incomplete,missing address_line_1,advisory
H0003267,address_incomplete,missing postcode,advisory
H0003274,address_incomplete,missing address_line_1,advisory
H0003280,nino_malformed,NINO fails structure: bad_suffix,blocking
H0003296,nino_missing,NINO absent,blocking
H0003299,dob_missing,date_of_birth='',advisory
H0003306,dob_missing,date_of_birth='',advisory
H0003308,nino_missing,NINO absent,blocking
H0003314,address_incomplete,missing postcode,advisory
H0003330,nino_malformed,NINO fails structure: suffix_blank,blocking
H0003340,nino_malformed,NINO fails structure: bad_format,blocking
H0003344,dob_missing,date_of_birth='',advisory
H0003434,nino_missing,NINO absent,blocking
H0003453,nino_malformed,NINO fails structure: bad_suffix,blocking
H0003460,address_incomplete,missing postcode,advisory
H0003463,nino_missing,NINO absent,blocking
H0003482,nino_malformed,NINO fails structure: bad_format,blocking
H0003487,address_incomplete,missing postcode,advisory
H0003491,nino_malformed,NINO fails structure: suffix_blank,blocking
H0003514,nino_missing,NINO absent,blocking
H0003516,nino_malformed,NINO fails structure: bad_format,blocking
H0003524,nino_missing,NINO absent,blocking
H0003524,dob_missing,date_of_birth='',advisory
H0003540,dob_missing,date_of_birth='',advisory
H0003561,nino_missing,NINO absent,blocking
H0003564,nino_malformed,NINO fails structure: bad_format,blocking
H0003569,nino_missing,NINO absent,blocking
H0003572,dob_missing,date_of_birth='',advisory
H0003597,nino_malformed,NINO fails structure: bad_format,blocking
H0003625,nino_malformed,NINO fails structure: bad_format,blocking
H0003628,nino_malformed,NINO fails structure: suffix_blank,blocking
H0003628,dob_missing,date_of_birth='',advisory
H0003654,nino_missing,NINO absent,blocking
H0003659,address_incomplete,missing address_line_1,advisory
H0003664,nino_malformed,NINO fails structure: bad_suffix,blocking
H0003673,dob_missing,date_of_birth='',advisory
H0003723,nino_missing,NINO absent,blocking
H0003730,nino_malformed,NINO fails structure: suffix_blank,blocking
H0003755,nino_missing,NINO absent,blocking
H0003769,nino_missing,NINO absent,blocking
H0003786,dob_missing,date_of_birth='',advisory
H0003790,dob_missing,date_of_birth='',advisory
H0003801,address_incomplete,missing postcode,advisory
H0003808,address_incomplete,missing postcode,advisory
H0003825,nino_missing,NINO absent,blocking
H0003834,nino_malformed,NINO fails structure: bad_format,blocking
H0003889,nino_missing,NINO absent,blocking
H0003897,nino_missing,NINO absent,blocking
H0003910,nino_malformed,NINO fails structure: bad_format,blocking
H0003919,address_incomplete,missing postcode,advisory
H0003920,address_incomplete,missing postcode,advisory
H0003922,nino_missing,NINO absent,blocking
H0003928,nino_missing,NINO absent,blocking
H0003930,nino_malformed,NINO fails structure: suffix_blank,blocking
H0003931,dob_missing,date_of_birth='',advisory
H0003940,address_incomplete,missing postcode,advisory
H0003943,nino_missing,NINO absent,blocking
H0003943,dob_missing,date_of_birth='',advisory
H0003946,nino_missing,NINO absent,blocking
H0003950,nino_missing,NINO absent,blocking
H0003951,nino_malformed,NINO fails structure: bad_format,blocking
H0003986,address_incomplete,missing postcode,advisory
H0003993,address_incomplete,missing postcode,advisory
H0003996,nino_malformed,NINO fails structure: bad_suffix,blocking
H0004003,nino_missing,NINO absent,blocking
H0004024,dob_missing,date_of_birth='',advisory
H0004028,nino_missing,NINO absent,blocking
H0004035,address_incomplete,missing postcode,advisory
H0004075,nino_missing,NINO absent,blocking
H0004076,nino_malformed,NINO fails structure: bad_format,blocking
H0004105,nino_missing,NINO absent,blocking
H0004113,dob_missing,date_of_birth='',advisory
H0004122,address_incomplete,missing address_line_1,advisory
H0004132,dob_missing,date_of_birth='',advisory
H0004137,nino_missing,NINO absent,blocking
H0004139,nino_missing,NINO absent,blocking
H0004154,nino_malformed,NINO fails structure: bad_format,blocking
H0004158,address_incomplete,missing postcode,advisory
H0004214,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0004232,nino_malformed,NINO fails structure: bad_format,blocking
H0004250,nino_missing,NINO absent,blocking
H0004260,dob_missing,date_of_birth='',advisory
H0004274,nino_malformed,NINO fails structure: bad_format,blocking
H0004277,dob_missing,date_of_birth='',advisory
H0004323,dob_missing,date_of_birth='',advisory
H0004340,address_incomplete,missing address_line_1,advisory
H0004358,nino_malformed,NINO fails structure: bad_format,blocking
H0004398,address_incomplete,missing address_line_1,advisory
H0004404,address_incomplete,missing address_line_1,advisory
H0004422,nino_malformed,NINO fails structure: bad_format,blocking
H0004436,dob_missing,date_of_birth='',advisory
H0004440,nino_missing,NINO absent,blocking
H0004443,nino_malformed,NINO fails structure: bad_format,blocking
H0004446,nino_malformed,NINO fails structure: bad_format,blocking
H0004493,address_incomplete,missing address_line_1,advisory
H0004495,nino_malformed,NINO fails structure: bad_format,blocking
H0004501,nino_missing,NINO absent,blocking
H0004518,nino_missing,NINO absent,blocking
H0004523,nino_missing,NINO absent,blocking
H0004536,address_incomplete,missing address_line_1,advisory
H0004538,nino_missing,NINO absent,blocking
H0004555,nino_missing,NINO absent,blocking
H0004558,address_incomplete,missing address_line_1,advisory
H0004561,nino_malformed,NINO fails structure: suffix_blank,blocking
H0004595,dob_missing,date_of_birth='',advisory
H0004595,address_incomplete,missing postcode,advisory
H0004607,nino_malformed,NINO fails structure: bad_suffix,blocking
H0004622,nino_malformed,NINO fails structure: bad_suffix,blocking
H0004631,address_incomplete,missing postcode,advisory
H0004639,nino_missing,NINO absent,blocking
H0004671,nino_missing,NINO absent,blocking
H0004674,nino_malformed,NINO fails structure: suffix_blank,blocking
H0004698,nino_missing,NINO absent,blocking
H0004724,nino_missing,NINO absent,blocking
H0004728,address_incomplete,missing address_line_1,advisory
H0004737,nino_missing,NINO absent,blocking
H0004746,dob_missing,date_of_birth='',advisory
H0004754,address_incomplete,missing address_line_1,advisory
H0004771,nino_missing,NINO absent,blocking
H0004782,nino_missing,NINO absent,blocking
H0004788,dob_missing,date_of_birth='',advisory
H0004792,address_incomplete,missing postcode,advisory
H0004802,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0004806,address_incomplete,missing address_line_1,advisory
H0004823,address_incomplete,missing postcode,advisory
H0004829,nino_missing,NINO absent,blocking
H0004856,address_incomplete,missing postcode,advisory
H0004865,nino_missing,NINO absent,blocking
H0004867,nino_malformed,NINO fails structure: bad_format,blocking
H0004901,address_incomplete,missing address_line_1,advisory
H0004903,address_incomplete,missing postcode,advisory
H0004906,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0004910,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0004912,nino_missing,NINO absent,blocking
H0004965,nino_malformed,NINO fails structure: suffix_blank,blocking
H0004979,address_incomplete,missing address_line_1,advisory
H0004981,address_incomplete,missing postcode,advisory
H0004989,nino_missing,NINO absent,blocking
H0004995,nino_missing,NINO absent,blocking
H0004999,nino_malformed,NINO fails structure: bad_format,blocking
H0005006,address_incomplete,missing address_line_1,advisory
H0005009,address_incomplete,missing address_line_1,advisory
H0005018,nino_missing,NINO absent,blocking
H0005031,nino_missing,NINO absent,blocking
H0005033,address_incomplete,missing postcode,advisory
H0005040,nino_missing,NINO absent,blocking
H0005075,nino_malformed,NINO fails structure: bad_format,blocking
H0005089,nino_malformed,NINO fails structure: bad_format,blocking
H0005098,address_incomplete,missing address_line_1,advisory
H0005125,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0005130,address_incomplete,missing address_line_1,advisory
H0005150,nino_malformed,NINO fails structure: bad_format,blocking
H0005166,nino_missing,NINO absent,blocking
H0005170,nino_malformed,NINO fails structure: suffix_blank,blocking
H0005179,nino_missing,NINO absent,blocking
H0005181,dob_missing,date_of_birth='',advisory
H0005193,nino_malformed,NINO fails structure: suffix_blank,blocking
H0005195,nino_malformed,NINO fails structure: bad_suffix,blocking
H0005206,address_incomplete,missing postcode,advisory
H0005216,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0005224,dob_missing,date_of_birth='',advisory
H0005228,nino_missing,NINO absent,blocking
H0005232,nino_missing,NINO absent,blocking
H0005237,nino_malformed,NINO fails structure: bad_format,blocking
H0005259,dob_missing,date_of_birth='',advisory
H0005263,nino_missing,NINO absent,blocking
H0005271,nino_malformed,NINO fails structure: bad_suffix,blocking
H0005296,nino_malformed,NINO fails structure: bad_format,blocking
H0005307,address_incomplete,missing postcode,advisory
H0005340,address_incomplete,missing address_line_1,advisory
H0005343,dob_missing,date_of_birth='',advisory
H0005349,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0005358,nino_malformed,NINO fails structure: suffix_blank,blocking
H0005363,nino_missing,NINO absent,blocking
H0005366,nino_missing,NINO absent,blocking
H0005371,dob_missing,date_of_birth='',advisory
H0005393,address_incomplete,missing postcode,advisory
H0005399,nino_malformed,NINO fails structure: bad_format,blocking
H0005425,address_incomplete,missing address_line_1,advisory
H0005435,address_incomplete,missing address_line_1,advisory
H0005445,nino_missing,NINO absent,blocking
H0005450,nino_missing,NINO absent,blocking
H0005453,nino_malformed,NINO fails structure: bad_format,blocking
H0005457,nino_missing,NINO absent,blocking
H0005460,nino_missing,NINO absent,blocking
H0005468,address_incomplete,missing address_line_1,advisory
H0005475,address_incomplete,missing address_line_1,advisory
H0005511,nino_missing,NINO absent,blocking
H0005536,nino_malformed,NINO fails structure: bad_format,blocking
H0005539,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0005558,nino_malformed,NINO fails structure: suffix_blank,blocking
H0005567,nino_malformed,NINO fails structure: bad_format,blocking
H0005572,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0005583,address_incomplete,missing postcode,advisory
H0005584,nino_missing,NINO absent,blocking
H0005586,nino_missing,NINO absent,blocking
H0005590,nino_malformed,NINO fails structure: suffix_blank,blocking
H0005618,nino_missing,NINO absent,blocking
H0005634,address_incomplete,missing postcode,advisory
H0005637,address_incomplete,missing address_line_1,advisory
H0005646,nino_missing,NINO absent,blocking
H0005676,address_incomplete,missing postcode,advisory
H0005680,dob_missing,date_of_birth='',advisory
H0005682,dob_missing,date_of_birth='',advisory
H0005684,nino_malformed,NINO fails structure: suffix_blank,blocking
H0005687,nino_missing,NINO absent,blocking
H0005695,nino_missing,NINO absent,blocking
H0005731,nino_missing,NINO absent,blocking
H0005748,nino_malformed,NINO fails structure: bad_suffix,blocking
H0005759,address_incomplete,missing postcode,advisory
H0005802,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0005815,nino_missing,NINO absent,blocking
H0005819,address_incomplete,missing address_line_1,advisory
H0005822,nino_missing,NINO absent,blocking
H0005841,nino_missing,NINO absent,blocking
H0005844,address_incomplete,missing address_line_1,advisory
H0005858,dob_missing,date_of_birth='',advisory
H0005870,address_incomplete,missing postcode,advisory
H0005875,nino_missing,NINO absent,blocking
H0005882,nino_missing,NINO absent,blocking
H0005882,address_incomplete,missing address_line_1,advisory
H0005886,nino_missing,NINO absent,blocking
H0005887,address_incomplete,missing address_line_1,advisory
H0005891,address_incomplete,missing postcode,advisory
H0005904,nino_malformed,NINO fails structure: suffix_blank,blocking
H0005905,address_incomplete,missing address_line_1,advisory
H0005906,address_incomplete,missing address_line_1,advisory
H0005921,nino_missing,NINO absent,blocking
H0005937,dob_missing,date_of_birth='',advisory
H0005960,address_incomplete,missing address_line_1,advisory
H0005974,address_incomplete,missing postcode,advisory
H0006008,nino_malformed,NINO fails structure: bad_suffix,blocking
H0006009,nino_malformed,NINO fails structure: bad_suffix,blocking
H0006027,dob_missing,date_of_birth='',advisory
H0006046,address_incomplete,missing postcode,advisory
H0006051,nino_malformed,NINO fails structure: bad_format,blocking
H0006064,nino_missing,NINO absent,blocking
H0006064,address_incomplete,missing postcode,advisory
H0006066,address_incomplete,missing postcode,advisory
H0006086,nino_missing,NINO absent,blocking
H0006100,dob_missing,date_of_birth='',advisory
H0006104,nino_missing,NINO absent,blocking
H0006106,nino_missing,NINO absent,blocking
H0006117,dob_missing,date_of_birth='',advisory
H0006169,nino_missing,NINO absent,blocking
H0006169,address_incomplete,missing postcode,advisory
H0006173,address_incomplete,missing postcode,advisory
H0006192,address_incomplete,missing address_line_1,advisory
H0006208,nino_malformed,NINO fails structure: suffix_blank,blocking
H0006211,nino_malformed,NINO fails structure: suffix_blank,blocking
H0006213,dob_missing,date_of_birth='',advisory
H0006233,dob_missing,date_of_birth='',advisory
H0006242,address_incomplete,missing address_line_1,advisory
H0006245,nino_missing,NINO absent,blocking
H0006251,address_incomplete,missing address_line_1,advisory
H0006252,address_incomplete,missing postcode,advisory
H0006265,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0006272,nino_missing,NINO absent,blocking
H0006350,address_incomplete,missing postcode,advisory
H0006356,address_incomplete,missing postcode,advisory
H0006358,dob_missing,date_of_birth='',advisory
H0006387,nino_missing,NINO absent,blocking
H0006405,nino_missing,NINO absent,blocking
H0006419,address_incomplete,missing postcode,advisory
H0006434,nino_missing,NINO absent,blocking
H0006452,nino_missing,NINO absent,blocking
H0006454,nino_missing,NINO absent,blocking
H0006454,address_incomplete,missing postcode,advisory
H0006461,nino_missing,NINO absent,blocking
H0006478,dob_missing,date_of_birth='',advisory
H0006505,nino_malformed,NINO fails structure: bad_format,blocking
H0006507,nino_missing,NINO absent,blocking
H0006509,nino_missing,NINO absent,blocking
H0006515,address_incomplete,missing postcode,advisory
H0006537,nino_missing,NINO absent,blocking
H0006594,address_incomplete,missing postcode,advisory
H0006603,dob_missing,date_of_birth='',advisory
H0006607,address_incomplete,missing address_line_1,advisory
H0006624,nino_malformed,NINO fails structure: bad_format,blocking
H0006630,address_incomplete,missing postcode,advisory
H0006640,nino_missing,NINO absent,blocking
H0006640,dob_missing,date_of_birth='',advisory
H0006657,nino_missing,NINO absent,blocking
H0006668,dob_missing,date_of_birth='',advisory
H0006669,address_incomplete,missing postcode,advisory
H0006700,dob_missing,date_of_birth='',advisory
H0006757,nino_missing,NINO absent,blocking
H0006765,address_incomplete,missing address_line_1,advisory
H0006776,address_incomplete,missing address_line_1,advisory
H0006785,nino_missing,NINO absent,blocking
H0006790,nino_missing,NINO absent,blocking
H0006808,dob_missing,date_of_birth='',advisory
H0006812,nino_missing,NINO absent,blocking
H0006826,dob_missing,date_of_birth='',advisory
H0006828,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0006831,address_incomplete,missing postcode,advisory
H0006860,nino_missing,NINO absent,blocking
H0006861,nino_missing,NINO absent,blocking
H0006862,address_incomplete,missing postcode,advisory
H0006865,nino_missing,NINO absent,blocking
H0006877,dob_missing,date_of_birth='',advisory
H0006879,nino_malformed,NINO fails structure: bad_suffix,blocking
